Timestamp,Have you ever consumed any of our products?,"Where you live? (Please, Safira)",Are you vegan or vegetarian?,Are you milk allergic?,Do you prefer meat or cheese?,Would you like more bread or dessert options on our menu?,"On a scale of 1 to 10, how likely are you to try a new flavor of bread with a cheese-filling?                                  1 is ""I don't want it"" and 10 ""I really want it""."
02/02/2022 13:09:35,Yes,Other,No,No,meat,bread options,9
02/02/2022 13:14:18,Yes,Safira/Brazil,No,No,Both,bread options,8
02/02/2022 13:15:06,Yes,Safira/Brazil,No,No,meat,bread options,10
02/02/2022 13:16:45,Yes,Safira/Brazil,No,No,meat,bread options,10
02/02/2022 13:21:06,Yes,Safira/Brazil,No,No,cheese,bread options,9
02/02/2022 13:22:08,Yes,Other,No,No,both,bread options,10
02/02/2022 13:23:37,Yes,Safira/Brazil,No,No,cheese,bread options,9
02/02/2022 13:33:02,Yes,Safira/Brazil,No,No,both,bread options,10
02/02/2022 13:33:30,Yes,Safira/Brazil,No,No,meat,bread options,8
02/02/2022 13:41:32,No,Other,No,No,meat,dessert options,10
02/02/2022 13:56:46,Yes,Other,No,No,both,dessert options,9
02/02/2022 14:11:34,No,Safira/Brazil,No,No,cheese,bread options,10
02/02/2022 14:21:30,Yes,Safira/Brazil,No,No,meat,bread options,10
02/02/2022 14:23:08,No,Other,No,Yes,meat,dessert options,8
02/02/2022 14:30:45,No,Other,No,No,meat,dessert options,9
02/02/2022 14:36:04,Yes,Safira/Brazil,Yes,Yes,cheese,bread options,10
02/02/2022 14:40:59,No,Other,No,Yes,both,dessert options,9
02/02/2022 14:44:01,Yes,Safira/Brazil,No,No,both,dessert options,10
02/02/2022 15:04:18,No,Safira/Brazil,No,No,meat,bread options,7
02/02/2022 15:13:16,Yes,Safira/Brazil,No,No,meat,bread options,10
02/02/2022 15:16:30,No,Other,No,No,both,bread options,10
02/02/2022 15:18:22,Yes,Other,No,No,both,dessert options,10
02/02/2022 15:43:46,No,Other,No,No,both,bread options,10
02/02/2022 15:53:24,Yes,Other,No,No,both,bread options,10
02/02/2022 16:06:10,Yes,Safira/Brazil,No,No,cheese,bread options,10
02/02/2022 16:24:53,Yes,Other,Yes,Yes,both,bread options,4
02/02/2022 18:12:53,No,Other,No,Yes,both,bread options,8
02/02/2022 18:36:23,No,Safira/Brazil,No,No,both,bread options,10
02/02/2022 22:25:55,Yes,Safira/Brazil,No,No,both,dessert options,8
03/02/2022 01:11:27,Yes,Safira/Brazil,No,No,meat,bread options,8
